Longitude,Latitude,RegistrationNumber,Year,Decade,Binomial,TypeStatus,Continent,Country,Locality,Extent (m),Certainty,Type,NOTES,
,,1841.944,,,Manis crassicaudata,skin,,,,,,,,
83.938548,28.253008,43.1.12.85,,,Manis pentadactyla,type,Asia,Nepal,Pokhara,467050,100,2.1,Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country.,
-1.312712,14.492996,43.2.23.2,,,Phataginus tricuspis,type,Africa,W. Africa,Sahel Region,1955820,100,2.2,Tag just says W. Africa. Wikipedia lists the countries within Western Africa [https://en.wikipedia.org/wiki/West_Africa]. Coordinates for approximate centre of all countries together (lands in Burkino Faso) and extent to furthest boundary of this region (edge of Niger).,
,,44.10.5.1,,,Smutsia temminckii,skin,,,,,,,,
83.938548,28.253008,45.1.12.462,,,Manis pentadactyla,skeleton,Asia,Nepal,Pokhara,467050,100,2.1,No additional information on skull (same reg). Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country.,
-1.312712,14.492996,46.5.13.18,,,Phataginus tricuspis,type,Africa,W. Africa,Sahel Region,1955820,100,2.2,Tag just says W. Africa. Wikipedia lists the countries within Western Africa [https://en.wikipedia.org/wiki/West_Africa]. Coordinates for approximate centre of all countries together (lands in Burkino Faso) and extent to furthest boundary of this region (edge of Niger).,
88.44133,27.463487,48.6.11.7,,,Manis pentadactyla,skin,Asia,India,Sikkim,74410,100,2.2,"TagÂ says ""Sikim"". Coordinates for place name on Google Maps and extent to marked boundary. Large area, mostly rural.",
-1.312712,14.492996,48.7.11.5,,,Phataginus tricuspis,spirit,Africa,W. Africa,Sahel Region,1955820,100,2.2,Tag just says W. Africa. Wikipedia lists the countries within Western Africa [https://en.wikipedia.org/wiki/West_Africa]. Coordinates for approximate centre of all countries together (lands in Burkino Faso) and extent to furthest boundary of this region (edge of Niger).,
,,50.7.24.2,,,Manis crassicaudata,skeleton,,,,,,,,
11.789481,-0.603607,51.11.6.2,,,Phataginus tricuspis,skin,Africa,Gabon,Melagni,381240,100,2.1,Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country.,
24.071906,-30.84085,52.3.24.2,,,Smutsia temminckii,skin,Africa,South Africa,De Werf,1184880,50,2.1,Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country. Lower certainty because of the possibility that tag refers to southern region of Africa and not the country South Africa.,
79.616202,22.883478,57.1.22.8,,,Manis pentadactyla,skin,Asia,India,Khursipar,1677150,100,2.1,Coordinates taken from country centroids fileÂ [https://www.dropbox.com/sh/ltjhokjh5nmyrrk/AAAVLJp459Ix3Flunrqtqc97a/Useful%20documents?dl=0&preview=EMupd1_country_centroids.xlsx&subfolder_nav_tracking=1] and extent to furthest boundary of country.,
